Posição,municipio,Estado,População,cidade,uf,pais
313º,Vilhena,Rondônia,104 517,vilhena,ro,Brasil
314º,Itaperuna,Rio de Janeiro,104 354,itaperuna,rj,Brasil
315º,Itanhaém,São Paulo,104 351,itanhaem,sp,Brasil
316º,Breves,Pará,104 280,breves,pa,Brasil
317º,Itacoatiara,Amazonas,104 046,itacoatiara,am,Brasil
318º,Caieiras,São Paulo,104 044,caieiras,sp,Brasil
319º,Fazenda Rio Grande,Paraná,103 750,fazenda-rio-grande,pr,Brasil
320º,Mairiporã,São Paulo,103 645,mairipora,sp,Brasil
321º,Iguatu,Ceará,103 633,iguatu,ce,Brasil
322º,Jataí,Goiás,103 221,jatai,go,Brasil
323º,Santo Antônio de Jesus,Bahia,103 204,santo-antonio-de-jesus,ba,Brasil
324º,Itaituba,Pará,101 541,itaituba,pa,Brasil
325º,Barra do Piraí,Rio de Janeiro,101 139,barra-do-pirai,rj,Brasil
326º,Abreu e Lima,Pernambuco,100 698,abreu-e-lima,pe,Brasil
327º,Manacapuru,Amazonas,99 613,manacapuru,am,Brasil
328º,Ipojuca,Pernambuco,99 101,ipojuca,pe,Brasil
329º,Sarandi,Paraná,98 888,sarandi,pr,Brasil
330º,Guaíba,Rio Grande do Sul,98 331,guaiba,rs,Brasil
331º,Valença,Bahia,97 873,valenca,ba,Brasil
332º,Itajubá,Minas Gerais,97 782,itajuba,mg,Brasil
333º,Bayeux,Paraíba,97 519,bayeux,pb,Brasil
334º,Nova Lima,Minas Gerais,97 378,nova-lima,mg,Brasil
335º,Balsas,Maranhão,96 951,balsas,ma,Brasil
336º,Itabaiana,Sergipe,96 839,itabaiana,se,Brasil
337º,Votuporanga,São Paulo,96 106,votuporanga,sp,Brasil
338º,Campo Mourão,Paraná,96 102,campo-mourao,pr,Brasil
339º,Caçapava,São Paulo,95 752,cacapava,sp,Brasil
340º,Pará de Minas,Minas Gerais,95 616,para-de-minas,mg,Brasil
341º,Cáceres,Mato Grosso,95 339,caceres,mt,Brasil
342º,Ponta Porã,Mato Grosso do Sul,95 320,ponta-pora,ms,Brasil
343º,Itapeva,São Paulo,95 241,itapeva,sp,Brasil
344º,Caldas Novas,Goiás,95 183,caldas-novas,go,Brasil
345º,Sorriso,Mato Grosso,94 941,sorriso,mt,Brasil
346º,Paracatu,Minas Gerais,94 539,paracatu,mg,Brasil
347º,Itaúna,Minas Gerais,94 455,itauna,mg,Brasil
348º,Mogi Mirim,São Paulo,94 098,mogi-mirim,sp,Brasil
