Posição,municipio,Estado,População,cidade,uf,pais
3234º,Santa Maria do Oeste,Paraná,9 210,santa-maria-do-oeste,pr,Brasil
3235º,Coronel Murta,Minas Gerais,9 209,coronel-murta,mg,Brasil
3236º,Bálsamo,São Paulo,9 209,balsamo,sp,Brasil
3237º,Penaforte,Ceará,9 207,penaforte,ce,Brasil
3238º,Baía da Traição,Paraíba,9 197,baia-da-traicao,pb,Brasil
3239º,Palmeira d'Oeste,São Paulo,9 173,palmeira-d'oeste,sp,Brasil
3240º,Vista Alegre do Alto,São Paulo,9 163,vista-alegre-do-alto,sp,Brasil
3241º,Abadia de Goiás,Goiás,9 158,abadia-de-goias,go,Brasil
3242º,Prados,Minas Gerais,9 128,prados,mg,Brasil
3243º,Nova Redenção,Bahia,9 126,nova-redencao,ba,Brasil
3244º,Rafard,São Paulo,9 126,rafard,sp,Brasil
3245º,Urânia,São Paulo,9 125,urania,sp,Brasil
3246º,Palmeiras,Bahia,9 123,palmeiras,ba,Brasil
3247º,Anaurilândia,Mato Grosso do Sul,9 116,anaurilandia,ms,Brasil
3248º,Santa Rita do Araguaia,Goiás,9 110,santa-rita-do-araguaia,go,Brasil
3249º,Coqueiral,Minas Gerais,9 099,coqueiral,mg,Brasil
3250º,Iporã do Oeste,Santa Catarina,9 093,ipora-do-oeste,sc,Brasil
3251º,Dobrada,São Paulo,9 088,dobrada,sp,Brasil
3252º,São Domingos,Bahia,9 085,sao-domingos,ba,Brasil
3253º,Antônio João,Mato Grosso do Sul,9 082,antonio-joao,ms,Brasil
3254º,Casca,Rio Grande do Sul,9 070,casca,rs,Brasil
3255º,Montes Altos,Maranhão,9 064,montes-altos,ma,Brasil
3256º,Nova Maringá,Mato Grosso,9 056,nova-maringa,mt,Brasil
3257º,Siriri,Sergipe,9 046,siriri,se,Brasil
3258º,Queimada Nova,Piauí,9 041,queimada-nova,pi,Brasil
3259º,São Jorge d'Oeste,Paraná,9 005,sao-jorge-d'oeste,pr,Brasil
3260º,Vicentinópolis,Goiás,9 002,vicentinopolis,go,Brasil
3261º,Pantano Grande,Rio Grande do Sul,8 995,pantano-grande,rs,Brasil
3262º,São José da Bela Vista,São Paulo,8 991,sao-jose-da-bela-vista,sp,Brasil
3263º,Douradina,Paraná,8 988,douradina,pr,Brasil
3264º,Santanópolis,Bahia,8 987,santanopolis,ba,Brasil
3265º,Brejão,Pernambuco,8 981,brejao,pe,Brasil
3266º,Paulo de Faria,São Paulo,8 973,paulo-de-faria,sp,Brasil
3267º,Itauçu,Goiás,8 968,itaucu,go,Brasil
3268º,Sítio Novo do Tocantins,Tocantins,8 965,sitio-novo-do-tocantins,to,Brasil
3269º,Rio Novo,Minas Gerais,8 964,rio-novo,mg,Brasil
3270º,Morada Nova de Minas,Minas Gerais,8 955,morada-nova-de-minas,mg,Brasil
3271º,Quixabeira,Bahia,8 939,quixabeira,ba,Brasil
3272º,Guarani,Minas Gerais,8 926,guarani,mg,Brasil
3273º,Neves Paulista,São Paulo,8 917,neves-paulista,sp,Brasil
3274º,Caém,Bahia,8 912,caem,ba,Brasil
3275º,Bom Jardim de Goiás,Goiás,8 912,bom-jardim-de-goias,go,Brasil
3276º,Cordisburgo,Minas Gerais,8 903,cordisburgo,mg,Brasil
3277º,Santa Rita de Caldas,Minas Gerais,8 900,santa-rita-de-caldas,mg,Brasil
3278º,Congonhinhas,Paraná,8 896,congonhinhas,pr,Brasil
3279º,Clementina,São Paulo,8 894,clementina,sp,Brasil
3280º,Filadélfia,Tocantins,8 892,filadelfia,to,Brasil
3281º,Santa Lúcia,São Paulo,8 889,santa-lucia,sp,Brasil
3282º,Dourado,São Paulo,8 883,dourado,sp,Brasil
3283º,Guamiranga,Paraná,8 881,guamiranga,pr,Brasil
3284º,Pereiras,São Paulo,8 875,pereiras,sp,Brasil
3285º,São Sebastião da Amoreira,Paraná,8 865,sao-sebastiao-da-amoreira,pr,Brasil
3286º,Jucuruçu,Bahia,8 856,jucurucu,ba,Brasil
3287º,Maravilha,Alagoas,8 850,maravilha,al,Brasil
3288º,Ibiassucê,Bahia,8 849,ibiassuce,ba,Brasil
3289º,Aratuípe,Bahia,8 848,aratuipe,ba,Brasil
3290º,Armazém,Santa Catarina,8 843,armazem,sc,Brasil
3291º,Brejo de Areia,Maranhão,8 841,brejo-de-areia,ma,Brasil
3292º,Lago dos Rodrigues,Maranhão,8 841,lago-dos-rodrigues,ma,Brasil
3293º,Moraújo,Ceará,8 833,moraujo,ce,Brasil
3294º,Piedade de Caratinga,Minas Gerais,8 832,piedade-de-caratinga,mg,Brasil
3295º,Ibitirama,Espírito Santo,8 830,ibitirama,es,Brasil
3296º,Nossa Senhora Aparecida,Sergipe,8 822,nossa-senhora-aparecida,se,Brasil
3297º,Redenção do Gurgueia,Piauí,8 814,redencao-do-gurgueia,pi,Brasil
3298º,Coluna,Minas Gerais,8 810,coluna,mg,Brasil
3299º,Central do Maranhão,Maranhão,8 806,central-do-maranhao,ma,Brasil
3300º,Cristais Paulista,São Paulo,8 803,cristais-paulista,sp,Brasil
3301º,Cezarina,Goiás,8 794,cezarina,go,Brasil
3302º,Marilândia do Sul,Paraná,8 793,marilandia-do-sul,pr,Brasil
3303º,Martins,Rio Grande do Norte,8 790,martins,rn,Brasil
3304º,Castanheira,Mato Grosso,8 782,castanheira,mt,Brasil
3305º,Monsenhor Paulo,Minas Gerais,8 764,monsenhor-paulo,mg,Brasil
3306º,Santa Terezinha,Santa Catarina,8 760,santa-terezinha,sc,Brasil
3307º,Monte Alegre de Goiás,Goiás,8 759,monte-alegre-de-goias,go,Brasil
3308º,Nossa Senhora dos Remédios,Piauí,8 751,nossa-senhora-dos-remedios,pi,Brasil
3309º,Alvorada do Norte,Goiás,8 749,alvorada-do-norte,go,Brasil
3310º,Marcação,Paraíba,8 746,marcacao,pb,Brasil
3311º,São Vicente do Sul,Rio Grande do Sul,8 742,sao-vicente-do-sul,rs,Brasil
3312º,Ibirapuã,Bahia,8 740,ibirapua,ba,Brasil
3313º,Serranópolis,Goiás,8 737,serranopolis,go,Brasil
3314º,São Domingos do Norte,Espírito Santo,8 735,sao-domingos-do-norte,es,Brasil
3315º,Varzedo,Bahia,8 734,varzedo,ba,Brasil
3316º,Mucugê,Bahia,8 725,mucuge,ba,Brasil
3317º,Serra dos Aimorés,Minas Gerais,8 725,serra-dos-aimores,mg,Brasil
3318º,Santa Cruz de Minas,Minas Gerais,8 723,santa-cruz-de-minas,mg,Brasil
3319º,Pimenta,Minas Gerais,8 715,pimenta,mg,Brasil
3320º,Antônio Carlos,Santa Catarina,8 712,antonio-carlos,sc,Brasil
3321º,Nazareno,Minas Gerais,8 710,nazareno,mg,Brasil
3322º,Mata Verde,Minas Gerais,8 700,mata-verde,mg,Brasil
3323º,Capitólio,Minas Gerais,8 693,capitolio,mg,Brasil
3324º,Piranguinho,Minas Gerais,8 683,piranguinho,mg,Brasil
3325º,Abaíra,Bahia,8 681,abaira,ba,Brasil
3326º,Ouro Verde,São Paulo,8 676,ouro-verde,sp,Brasil
3327º,Cordeiros,Bahia,8 667,cordeiros,ba,Brasil
3328º,Arealva,São Paulo,8 665,arealva,sp,Brasil
3329º,Santana do Manhuaçu,Minas Gerais,8 660,santana-do-manhuacu,mg,Brasil
3330º,Caraíbas,Bahia,8 659,caraibas,ba,Brasil
3331º,Virgínia,Minas Gerais,8 652,virginia,mg,Brasil
3332º,Tangará,Santa Catarina,8 648,tangara,sc,Brasil
3333º,Tasso Fragoso,Maranhão,8 642,tasso-fragoso,ma,Brasil
3334º,Mataraca,Paraíba,8 642,mataraca,pb,Brasil
3335º,Califórnia,Paraná,8 641,california,pr,Brasil
3336º,Martins Soares,Minas Gerais,8 640,martins-soares,mg,Brasil
3337º,Nazária,Piauí,8 632,nazaria,pi,Brasil
3338º,Catuípe,Rio Grande do Sul,8 631,catuipe,rs,Brasil
3339º,Jordão,Acre,8 628,jordao,ac,Brasil
3340º,Lagoa Alegre,Piauí,8 610,lagoa-alegre,pi,Brasil
3341º,Magalhães Barata,Pará,8 598,magalhaes-barata,pa,Brasil
3342º,Angelândia,Minas Gerais,8 594,angelandia,mg,Brasil
3343º,Camutanga,Pernambuco,8 592,camutanga,pe,Brasil
3344º,Lagedo do Tabocal,Bahia,8 591,lagedo-do-tabocal,ba,Brasil
3345º,Marcolândia,Piauí,8 590,marcolandia,pi,Brasil
3346º,Comendador Levy Gasparian,Rio de Janeiro,8 590,comendador-levy-gasparian,rj,Brasil
3347º,Isaías Coelho,Piauí,8 582,isaias-coelho,pi,Brasil
3348º,Ouriçangas,Bahia,8 575,ouricangas,ba,Brasil
3349º,Jóia,Rio Grande do Sul,8 571,joia,rs,Brasil
3350º,Praia Norte,Tocantins,8 563,praia-norte,to,Brasil
3351º,Tarrafas,Ceará,8 555,tarrafas,ce,Brasil
3352º,Riacho dos Cavalos,Paraíba,8 555,riacho-dos-cavalos,pb,Brasil
3353º,Santa Terezinha,Mato Grosso,8 547,santa-terezinha,mt,Brasil
3354º,Santo Antônio do Aracanguá,São Paulo,8 541,santo-antonio-do-aracangua,sp,Brasil
3355º,Paverama,Rio Grande do Sul,8 541,paverama,rs,Brasil
3356º,Pratápolis,Minas Gerais,8 530,pratapolis,mg,Brasil
3357º,São Gonçalo do Abaeté,Minas Gerais,8 527,sao-goncalo-do-abaete,mg,Brasil
3358º,Ilha das Flores,Sergipe,8 522,ilha-das-flores,se,Brasil
3359º,Feira Nova do Maranhão,Maranhão,8 506,feira-nova-do-maranhao,ma,Brasil
3360º,Milagres do Maranhão,Maranhão,8 502,milagres-do-maranhao,ma,Brasil
3361º,Tuneiras do Oeste,Paraná,8 502,tuneiras-do-oeste,pr,Brasil
3362º,Saltinho,São Paulo,8 498,saltinho,sp,Brasil
3363º,Boa Vista do Gurupi,Maranhão,8 494,boa-vista-do-gurupi,ma,Brasil
3364º,São João da Baliza,Roraima,8 492,sao-joao-da-baliza,rr,Brasil
3365º,Santa Isabel do Ivaí,Paraná,8 484,santa-isabel-do-ivai,pr,Brasil
3366º,Aparecida,Paraíba,8 482,aparecida,pb,Brasil
3367º,Ibiaí,Minas Gerais,8 478,ibiai,mg,Brasil
3368º,Morpará,Bahia,8 476,morpara,ba,Brasil
3369º,Araponga,Minas Gerais,8 467,araponga,mg,Brasil
3370º,Japaratinga,Alagoas,8 444,japaratinga,al,Brasil
3371º,Barra de São Miguel,Alagoas,8 434,barra-de-sao-miguel,al,Brasil
3372º,Caraá,Rio Grande do Sul,8 426,caraa,rs,Brasil
3373º,Estrela d'Oeste,São Paulo,8 420,estrela-d'oeste,sp,Brasil
3374º,Jangada,Mato Grosso,8 420,jangada,mt,Brasil
3375º,Araguaçu,Tocantins,8 418,araguacu,to,Brasil
3376º,Santa Rosa do Sul,Santa Catarina,8 397,santa-rosa-do-sul,sc,Brasil
3377º,Brejo Grande,Sergipe,8 396,brejo-grande,se,Brasil
3378º,Pavão,Minas Gerais,8 390,pavao,mg,Brasil
3379º,Vera Cruz do Oeste,Paraná,8 389,vera-cruz-do-oeste,pr,Brasil
3380º,Santa Terezinha de Goiás,Goiás,8 386,santa-terezinha-de-goias,go,Brasil
3381º,Campo Florido,Minas Gerais,8 383,campo-florido,mg,Brasil
3382º,Alvorada,Tocantins,8 381,alvorada,to,Brasil
3383º,Montezuma,Minas Gerais,8 379,montezuma,mg,Brasil
3384º,Jauru,Mato Grosso,8 377,jauru,mt,Brasil
3385º,Itaquara,Bahia,8 375,itaquara,ba,Brasil
3386º,Madeiro,Piauí,8 372,madeiro,pi,Brasil
3387º,Brasileira,Piauí,8 364,brasileira,pi,Brasil
3388º,Icém,São Paulo,8 363,icem,sp,Brasil
3389º,Irapuru,São Paulo,8 356,irapuru,sp,Brasil
3390º,Cristalândia do Piauí,Piauí,8 350,cristalandia-do-piaui,pi,Brasil
3391º,Entre-Ijuís,Rio Grande do Sul,8 350,entre-ijuis,rs,Brasil
3392º,Lagoa Salgada,Rio Grande do Norte,8 348,lagoa-salgada,rn,Brasil
3393º,General Câmara,Rio Grande do Sul,8 339,general-camara,rs,Brasil
3394º,Barra de Santana,Paraíba,8 338,barra-de-santana,pb,Brasil
3395º,Rodeiro,Minas Gerais,8 333,rodeiro,mg,Brasil
3396º,Desterro,Paraíba,8 332,desterro,pb,Brasil
3397º,Nova Itarana,Bahia,8 328,nova-itarana,ba,Brasil
3398º,Malhada de Pedras,Bahia,8 326,malhada-de-pedras,ba,Brasil
3399º,Terezópolis de Goiás,Goiás,8 326,terezopolis-de-goias,go,Brasil
3400º,Marcelino Vieira,Rio Grande do Norte,8 325,marcelino-vieira,rn,Brasil
3401º,Campo Erê,Santa Catarina,8 312,campo-ere,sc,Brasil
3402º,Nova Santa Rosa,Paraná,8 311,nova-santa-rosa,pr,Brasil
3403º,Riachuelo,Rio Grande do Norte,8 310,riachuelo,rn,Brasil
3404º,Pains,Minas Gerais,8 308,pains,mg,Brasil
3405º,Glorinha,Rio Grande do Sul,8 304,glorinha,rs,Brasil
3406º,Itapé,Bahia,8 300,itape,ba,Brasil
3407º,Carnaúba dos Dantas,Rio Grande do Norte,8 297,carnauba-dos-dantas,rn,Brasil
3408º,Guiricema,Minas Gerais,8 296,guiricema,mg,Brasil
3409º,Ivaté,Paraná,8 294,ivate,pr,Brasil
3410º,Gado Bravo,Paraíba,8 292,gado-bravo,pb,Brasil
3411º,Pocrane,Minas Gerais,8 288,pocrane,mg,Brasil
3412º,Alto Jequitibá,Minas Gerais,8 286,alto-jequitiba,mg,Brasil
3413º,Buriti dos Montes,Piauí,8 282,buriti-dos-montes,pi,Brasil
3414º,Tuparetama,Pernambuco,8 266,tuparetama,pe,Brasil
3415º,Mirante,Bahia,8 264,mirante,ba,Brasil
3416º,Monte Castelo,Santa Catarina,8 263,monte-castelo,sc,Brasil
3417º,Águas da Prata,São Paulo,8 262,aguas-da-prata,sp,Brasil
3418º,Guaraçaí,São Paulo,8 258,guaracai,sp,Brasil
3419º,Jesuítas,Paraná,8 251,jesuitas,pr,Brasil
3420º,Altamira do Maranhão,Maranhão,8 250,altamira-do-maranhao,ma,Brasil
3421º,São Luís,Roraima,8 232,sao-luis,rr,Brasil
3422º,Iepê,São Paulo,8 228,iepe,sp,Brasil
3423º,Santa Bárbara do Leste,Minas Gerais,8 212,santa-barbara-do-leste,mg,Brasil
3424º,Major Vieira,Santa Catarina,8 209,major-vieira,sc,Brasil
3425º,Lindoia,São Paulo,8 201,lindoia,sp,Brasil
3426º,Bilac,São Paulo,8 197,bilac,sp,Brasil
3427º,Ponte Alta do Tocantins,Tocantins,8 192,ponte-alta-do-tocantins,to,Brasil
3428º,São Rafael,Rio Grande do Norte,8 183,sao-rafael,rn,Brasil
3429º,Monte do Carmo,Tocantins,8 182,monte-do-carmo,to,Brasil
3430º,Ipiranga do Norte,Mato Grosso,8 182,ipiranga-do-norte,mt,Brasil
3431º,Monte Alegre do Sul,São Paulo,8 181,monte-alegre-do-sul,sp,Brasil
3432º,Jaborandi,Bahia,8 176,jaborandi,ba,Brasil
3433º,Macaubal,São Paulo,8 174,macaubal,sp,Brasil
3434º,Guimarânia,Minas Gerais,8 168,guimarania,mg,Brasil
3435º,Barão de Melgaço,Mato Grosso,8 165,barao-de-melgaco,mt,Brasil
3436º,Tiradentes,Minas Gerais,8 160,tiradentes,mg,Brasil
3437º,Ferreira Gomes,Amapá,8 151,ferreira-gomes,ap,Brasil
3438º,Jati,Ceará,8 150,jati,ce,Brasil
3439º,Orizânia,Minas Gerais,8 138,orizania,mg,Brasil
3440º,Treze Tílias,Santa Catarina,8 138,treze-tilias,sc,Brasil
3441º,Descanso,Santa Catarina,8 136,descanso,sc,Brasil
3442º,Riachinho,Minas Gerais,8 132,riachinho,mg,Brasil
3443º,Minas do Leão,Rio Grande do Sul,8 130,minas-do-leao,rs,Brasil
3444º,Elísio Medrado,Bahia,8 129,elisio-medrado,ba,Brasil
3445º,Reserva do Iguaçu,Paraná,8 127,reserva-do-iguacu,pr,Brasil
3446º,Novo Horizonte do Oeste,Rondônia,8 125,novo-horizonte-do-oeste,ro,Brasil
3447º,Cristal,Rio Grande do Sul,8 121,cristal,rs,Brasil
3448º,Nova Fátima,Paraná,8 120,nova-fatima,pr,Brasil
3449º,Campo do Tenente,Paraná,8 118,campo-do-tenente,pr,Brasil
3450º,Maravilhas,Minas Gerais,8 113,maravilhas,mg,Brasil
3451º,Candeal,Bahia,8 109,candeal,ba,Brasil
3452º,Serra Negra do Norte,Rio Grande do Norte,8 105,serra-negra-do-norte,rn,Brasil
3453º,Tupãssi,Paraná,8 105,tupassi,pr,Brasil
3454º,Irapuã,São Paulo,8 101,irapua,sp,Brasil
3455º,Cabeceiras,Goiás,8 098,cabeceiras,go,Brasil
3456º,Dom Aquino,Mato Grosso,8 087,dom-aquino,mt,Brasil
3457º,Campo Limpo de Goiás,Goiás,8 087,campo-limpo-de-goias,go,Brasil
3458º,São João do Arraial,Piauí,8 085,sao-joao-do-arraial,pi,Brasil
3459º,Peixe-Boi,Pará,8 084,peixe-boi,pa,Brasil
3460º,Colméia,Tocantins,8 078,colmeia,to,Brasil
3461º,Lamarão,Bahia,8 078,lamarao,ba,Brasil
3462º,São Miguel dos Milagres,Alagoas,8 073,sao-miguel-dos-milagres,al,Brasil
3463º,Nova Glória,Goiás,8 063,nova-gloria,go,Brasil
3464º,Estrela do Sul,Minas Gerais,8 057,estrela-do-sul,mg,Brasil
3465º,São José do Cerrito,Santa Catarina,8 054,sao-jose-do-cerrito,sc,Brasil
3466º,Santana da Boa Vista,Rio Grande do Sul,8 037,santana-da-boa-vista,rs,Brasil
3467º,Montes Claros de Goiás,Goiás,8 037,montes-claros-de-goias,go,Brasil
3468º,Passa Tempo,Minas Gerais,8 031,passa-tempo,mg,Brasil
3469º,Ascurra,Santa Catarina,8 021,ascurra,sc,Brasil
3470º,Ponto Belo,Espírito Santo,8 016,ponto-belo,es,Brasil
3471º,Juarez Távora,Paraíba,8 014,juarez-tavora,pb,Brasil
3472º,Delfim Moreira,Minas Gerais,8 007,delfim-moreira,mg,Brasil
3473º,Timbó Grande,Santa Catarina,8 003,timbo-grande,sc,Brasil
3474º,Cachoeira Dourada,Goiás,7 997,cachoeira-dourada,go,Brasil
3475º,Japonvar,Minas Gerais,7 991,japonvar,mg,Brasil
3476º,Salvador do Sul,Rio Grande do Sul,7 975,salvador-do-sul,rs,Brasil
3477º,Itamari,Bahia,7 971,itamari,ba,Brasil
3478º,Cruzeta,Rio Grande do Norte,7 968,cruzeta,rn,Brasil
3479º,Cambira,Paraná,7 967,cambira,pr,Brasil
3480º,Pedra Lavrada,Paraíba,7 954,pedra-lavrada,pb,Brasil
3481º,Santa Rita do Pardo,Mato Grosso do Sul,7 948,santa-rita-do-pardo,ms,Brasil
3482º,Portalegre,Rio Grande do Norte,7 944,portalegre,rn,Brasil
3483º,Tanquinho,Bahia,7 936,tanquinho,ba,Brasil
3484º,Ibirarema,São Paulo,7 926,ibirarema,sp,Brasil
3485º,Gaúcha do Norte,Mato Grosso,7 913,gaucha-do-norte,mt,Brasil
3486º,Alto Rio Novo,Espírito Santo,7 911,alto-rio-novo,es,Brasil
3487º,Santana do São Francisco,Sergipe,7 906,santana-do-sao-francisco,se,Brasil
3488º,Catiguá,São Paulo,7 905,catigua,sp,Brasil
3489º,Itaiçaba,Ceará,7 904,itaicaba,ce,Brasil
3490º,Senador Firmino,Minas Gerais,7 902,senador-firmino,mg,Brasil
3491º,Iguatama,Minas Gerais,7 901,iguatama,mg,Brasil
3492º,Durandé,Minas Gerais,7 898,durande,mg,Brasil
3493º,Campo Alegre de Goiás,Goiás,7 884,campo-alegre-de-goias,go,Brasil
3494º,Assunção do Piauí,Piauí,7 879,assuncao-do-piaui,pi,Brasil
3495º,Governador Luiz Rocha,Maranhão,7 878,governador-luiz-rocha,ma,Brasil
3496º,Santa Filomena do Maranhão,Maranhão,7 878,santa-filomena-do-maranhao,ma,Brasil
3497º,São Vicente de Minas,Minas Gerais,7 876,sao-vicente-de-minas,mg,Brasil
3498º,Iramaia,Bahia,7 874,iramaia,ba,Brasil
3499º,Curral de Dentro,Minas Gerais,7 867,curral-de-dentro,mg,Brasil
3500º,Cubati,Paraíba,7 866,cubati,pb,Brasil
3501º,Itobi,São Paulo,7 862,itobi,sp,Brasil
3502º,Ribamar Fiquene,Maranhão,7 859,ribamar-fiquene,ma,Brasil
3503º,Arneiroz,Ceará,7 848,arneiroz,ce,Brasil
3504º,Sobrado,Paraíba,7 845,sobrado,pb,Brasil
3505º,Pium,Tocantins,7 830,pium,to,Brasil
3506º,Nova Fátima,Bahia,7 830,nova-fatima,ba,Brasil
3507º,Ipeúna,São Paulo,7 824,ipeuna,sp,Brasil
3508º,Santa Bárbara do Sul,Rio Grande do Sul,7 813,santa-barbara-do-sul,rs,Brasil
3509º,Bodoquena,Mato Grosso do Sul,7 802,bodoquena,ms,Brasil
3510º,Araguapaz,Goiás,7 795,araguapaz,go,Brasil
3511º,Paraí,Rio Grande do Sul,7 793,parai,rs,Brasil
3512º,Monsenhor Hipólito,Piauí,7 785,monsenhor-hipolito,pi,Brasil
3513º,Jenipapo de Minas,Minas Gerais,7 781,jenipapo-de-minas,mg,Brasil
3514º,Baldim,Minas Gerais,7 780,baldim,mg,Brasil
3515º,Itamarati,Amazonas,7 777,itamarati,am,Brasil
3516º,Ibirajuba,Pernambuco,7 773,ibirajuba,pe,Brasil
3517º,General Sampaio,Ceará,7 767,general-sampaio,ce,Brasil
3518º,Restinga,São Paulo,7 762,restinga,sp,Brasil
3519º,Guatapará,São Paulo,7 760,guatapara,sp,Brasil
3520º,Senador Sá,Ceará,7 758,senador-sa,ce,Brasil
3521º,Marajá do Sena,Maranhão,7 757,maraja-do-sena,ma,Brasil
3522º,Lagoa de Dentro,Paraíba,7 754,lagoa-de-dentro,pb,Brasil
3523º,Macururé,Bahia,7 752,macurure,ba,Brasil
3524º,Jericó,Paraíba,7 751,jerico,pb,Brasil
3525º,Alto Paraíso de Goiás,Goiás,7 751,alto-paraiso-de-goias,go,Brasil
3526º,Umari,Ceará,7 740,umari,ce,Brasil
3527º,Sud Mennucci,São Paulo,7 738,sud-mennucci,sp,Brasil
3528º,Cônego Marinho,Minas Gerais,7 730,conego-marinho,mg,Brasil
3529º,Tuparendi,Rio Grande do Sul,7 730,tuparendi,rs,Brasil
3530º,Tapiraí,São Paulo,7 725,tapirai,sp,Brasil
3531º,São Pedro do Turvo,São Paulo,7 724,sao-pedro-do-turvo,sp,Brasil
3532º,Belo Vale,Minas Gerais,7 723,belo-vale,mg,Brasil
3533º,Altaneira,Ceará,7 712,altaneira,ce,Brasil
3534º,Santa Cruz de Monte Castelo,Paraná,7 705,santa-cruz-de-monte-castelo,pr,Brasil
3535º,Cajueiro da Praia,Piauí,7 704,cajueiro-da-praia,pi,Brasil
3536º,Tomazina,Paraná,7 699,tomazina,pr,Brasil
3537º,Jacuí,Minas Gerais,7 695,jacui,mg,Brasil
3538º,Palmeirópolis,Tocantins,7 694,palmeiropolis,to,Brasil
3539º,São Miguel das Missões,Rio Grande do Sul,7 692,sao-miguel-das-missoes,rs,Brasil
3540º,Boqueirão do Leão,Rio Grande do Sul,7 691,boqueirao-do-leao,rs,Brasil
3541º,Tocantínia,Tocantins,7 688,tocantinia,to,Brasil
3542º,Ribeirão Grande,São Paulo,7 686,ribeirao-grande,sp,Brasil
3543º,Tombos,Minas Gerais,7 683,tombos,mg,Brasil
3544º,Pedro Osório,Rio Grande do Sul,7 683,pedro-osorio,rs,Brasil
3545º,São Mamede,Paraíba,7 682,sao-mamede,pb,Brasil
3546º,Santa Fé do Araguaia,Tocantins,7 678,santa-fe-do-araguaia,to,Brasil
3547º,Alagoinha do Piauí,Piauí,7 678,alagoinha-do-piaui,pi,Brasil
3548º,Salete,Santa Catarina,7 674,salete,sc,Brasil
3549º,Icaraíma,Paraná,7 671,icaraima,pr,Brasil
3550º,Serrania,Minas Gerais,7 667,serrania,mg,Brasil
3551º,Colônia do Piauí,Piauí,7 665,colonia-do-piaui,pi,Brasil
3552º,Leopoldo de Bulhões,Goiás,7 663,leopoldo-de-bulhoes,go,Brasil
3553º,Divinolândia de Minas,Minas Gerais,7 655,divinolandia-de-minas,mg,Brasil
3554º,Lajeado Novo,Maranhão,7 653,lajeado-novo,ma,Brasil
3555º,Muribeca,Sergipe,7 653,muribeca,se,Brasil
3556º,Assis Brasil,Acre,7 649,assis-brasil,ac,Brasil
3557º,Ipumirim,Santa Catarina,7 647,ipumirim,sc,Brasil
3558º,Ipuaçu,Santa Catarina,7 643,ipuacu,sc,Brasil
3559º,Paulo Lopes,Santa Catarina,7 642,paulo-lopes,sc,Brasil
3560º,Itajá,Rio Grande do Norte,7 641,itaja,rn,Brasil
3561º,Limeira do Oeste,Minas Gerais,7 640,limeira-do-oeste,mg,Brasil
3562º,São José dos Basílios,Maranhão,7 639,sao-jose-dos-basilios,ma,Brasil
3563º,Paraíso do Sul,Rio Grande do Sul,7 635,paraiso-do-sul,rs,Brasil
3564º,São Pedro dos Ferros,Minas Gerais,7 634,sao-pedro-dos-ferros,mg,Brasil
3565º,Coimbra,Minas Gerais,7 631,coimbra,mg,Brasil
3566º,Sanclerlândia,Goiás,7 630,sanclerlandia,go,Brasil
3567º,Figueira,Paraná,7 625,figueira,pr,Brasil
3568º,Lagoa de Pedras,Rio Grande do Norte,7 624,lagoa-de-pedras,rn,Brasil
3569º,São José da Lagoa Tapada,Paraíba,7 622,sao-jose-da-lagoa-tapada,pb,Brasil
3570º,Porto de Pedras,Alagoas,7 618,porto-de-pedras,al,Brasil
3571º,Tarabai,São Paulo,7 609,tarabai,sp,Brasil
3572º,Barra do Turvo,São Paulo,7 606,barra-do-turvo,sp,Brasil
3573º,Inimutaba,Minas Gerais,7 605,inimutaba,mg,Brasil
3574º,Florestal,Minas Gerais,7 602,florestal,mg,Brasil
3575º,Moema,Minas Gerais,7 589,moema,mg,Brasil
3576º,Lagamar,Minas Gerais,7 588,lagamar,mg,Brasil
3577º,Belágua,Maranhão,7 586,belagua,ma,Brasil
3578º,Granito,Pernambuco,7 586,granito,pe,Brasil
3579º,Palestina do Pará,Pará,7 575,palestina-do-para,pa,Brasil
3580º,Pedro Gomes,Mato Grosso do Sul,7 568,pedro-gomes,ms,Brasil
3581º,Inocência,Mato Grosso do Sul,7 566,inocencia,ms,Brasil
3582º,São João do Jaguaribe,Ceará,7 557,sao-joao-do-jaguaribe,ce,Brasil
3583º,Paulo Jacinto,Alagoas,7 556,paulo-jacinto,al,Brasil
3584º,Guaraqueçaba,Paraná,7 554,guaraquecaba,pr,Brasil
3585º,Rio do Oeste,Santa Catarina,7 552,rio-do-oeste,sc,Brasil
3586º,Barão do Triunfo,Rio Grande do Sul,7 550,barao-do-triunfo,rs,Brasil
3587º,Felisburgo,Minas Gerais,7 548,felisburgo,mg,Brasil
3588º,Apiacá,Espírito Santo,7 542,apiaca,es,Brasil
3589º,São João Batista do Glória,Minas Gerais,7 541,sao-joao-batista-do-gloria,mg,Brasil
3590º,Pintópolis,Minas Gerais,7 540,pintopolis,mg,Brasil
3591º,Paulicéia,São Paulo,7 540,pauliceia,sp,Brasil
3592º,Santana de Pirapama,Minas Gerais,7 538,santana-de-pirapama,mg,Brasil
3593º,Coronel Domingos Soares,Paraná,7 538,coronel-domingos-soares,pr,Brasil
3594º,Abel Figueiredo,Pará,7 536,abel-figueiredo,pa,Brasil
3595º,São José da Barra,Minas Gerais,7 532,sao-jose-da-barra,mg,Brasil
3596º,Barbosa,São Paulo,7 532,barbosa,sp,Brasil
3597º,Casserengue,Paraíba,7 530,casserengue,pb,Brasil
