UF,Mun,Pop estimada 2021,Faixa_pop,Regiao
PA,Aurora do Pará,32200,4 - 20001 até 50000,1 - Norte
PA,Aveiro,16421,3 - 10001 até 20000,1 - Norte
PA,Bagre,31967,4 - 20001 até 50000,1 - Norte
PA,Baião,49454,4 - 20001 até 50000,1 - Norte
PA,Bannach,3239,1 - Até 5000,1 - Norte
PA,Barcarena,129333,6 - 100001 até 500000,1 - Norte
PA,Belém,1506420,7 - Maior que 500000,1 - Norte
PA,Belterra,17944,3 - 10001 até 20000,1 - Norte
PA,Benevides,64780,5 - 50001 até 100000,1 - Norte
PA,Bom Jesus do Tocantins,17254,3 - 10001 até 20000,1 - Norte
PA,Bonito,16769,3 - 10001 até 20000,1 - Norte
PA,Bragança,130122,6 - 100001 até 500000,1 - Norte
PA,Brasil Novo,14883,3 - 10001 até 20000,1 - Norte
PA,Brejo Grande do Araguaia,7357,2 - 5001 até 10000,1 - Norte
PA,Breu Branco,68597,5 - 50001 até 100000,1 - Norte
PA,Breves,104280,6 - 100001 até 500000,1 - Norte
PA,Bujaru,29717,4 - 20001 até 50000,1 - Norte
PA,Cachoeira do Piriá,35307,4 - 20001 até 50000,1 - Norte
PA,Cachoeira do Arari,24355,4 - 20001 até 50000,1 - Norte
PA,Cametá,140814,6 - 100001 até 500000,1 - Norte
PA,Canaã dos Carajás,39103,4 - 20001 até 50000,1 - Norte
PA,Capanema,69828,5 - 50001 até 100000,1 - Norte
PA,Capitão Poço,54545,5 - 50001 até 100000,1 - Norte
PA,Castanhal,205667,6 - 100001 até 500000,1 - Norte
PA,Chaves,24175,4 - 20001 até 50000,1 - Norte
PA,Colares,12175,3 - 10001 até 20000,1 - Norte
PA,Conceição do Araguaia,48115,4 - 20001 até 50000,1 - Norte
PA,Concórdia do Pará,34236,4 - 20001 até 50000,1 - Norte
PA,Cumaru do Norte,14044,3 - 10001 até 20000,1 - Norte
PA,Curionópolis,17764,3 - 10001 até 20000,1 - Norte
PA,Curralinho,35530,4 - 20001 até 50000,1 - Norte
PA,Curuá,14776,3 - 10001 até 20000,1 - Norte
PA,Curuçá,41093,4 - 20001 até 50000,1 - Norte
PA,Dom Eliseu,61206,5 - 50001 até 100000,1 - Norte
PA,Eldorado do Carajás,34069,4 - 20001 até 50000,1 - Norte
PA,Faro,6949,2 - 5001 até 10000,1 - Norte
PA,Floresta do Araguaia,20742,4 - 20001 até 50000,1 - Norte
PA,Garrafão do Norte,26155,4 - 20001 até 50000,1 - Norte
PA,Goianésia do Pará,41678,4 - 20001 até 50000,1 - Norte
PA,Gurupá,34127,4 - 20001 até 50000,1 - Norte
PA,Igarapé-Açu,39234,4 - 20001 até 50000,1 - Norte
PA,Igarapé-Miri,63367,5 - 50001 até 100000,1 - Norte
PA,Inhangapi,12009,3 - 10001 até 20000,1 - Norte
PA,Ipixuna do Pará,67170,5 - 50001 até 100000,1 - Norte
PA,Irituia,32639,4 - 20001 até 50000,1 - Norte
PA,Itaituba,101541,6 - 100001 até 500000,1 - Norte
PA,Itupiranga,53439,5 - 50001 até 100000,1 - Norte
PA,Jacareacanga,6952,2 - 5001 até 10000,1 - Norte
PA,Jacundá,60517,5 - 50001 até 100000,1 - Norte
PA,Juruti,59961,5 - 50001 até 100000,1 - Norte
PA,Limoeiro do Ajuru,29623,4 - 20001 até 50000,1 - Norte
PA,Mãe do Rio,30389,4 - 20001 até 50000,1 - Norte
PA,Magalhães Barata,8598,2 - 5001 até 10000,1 - Norte
PA,Marabá,287664,6 - 100001 até 500000,1 - Norte
PA,Maracanã,29559,4 - 20001 até 50000,1 - Norte
PA,Marapanim,28563,4 - 20001 até 50000,1 - Norte
